,,,"Todo: annotate Rating column 1-5 (1 is very negative, 2 negative, 3 neutral, 4 positive, 5 very positive). The exact question the LLM is given is: ""You are given a question and a response. Rate the sentiment/supportiveness of the response on a scale of 1 to 5, where 1 is very negative and 5 is very positive.""",
Question number,Response number,Question,Response,Rating
4,6,Questions about research or informed consent,No,2
4,0,Questions about research or informed consent,No,2
4,18,Questions about research or informed consent,No,2
4,1,Questions about research or informed consent,No,2
4,25,Questions about research or informed consent,No,2
4,20,Questions about research or informed consent,No,2
4,19,Questions about research or informed consent,No,2
4,17,Questions about research or informed consent,No,2
4,15,Questions about research or informed consent,No,2
4,4,Questions about research or informed consent,No,2
4,26,Questions about research or informed consent,No,2
4,12,Questions about research or informed consent,No,2
4,30,Questions about research or informed consent,No,2
4,28,Questions about research or informed consent,No,2
4,11,Questions about research or informed consent,No,2
16,29,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Be knowledgable in their field,3
16,15,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Respect each patient is different,3
16,3,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Treat each child as if it were your own,3
16,24,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Nothing,2
16,2,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Nothing,2
16,18,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Be knowledgable in their field,3
16,17,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Just do what you need to do,2
16,4,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Respect each patient is different,3
16,14,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Treat each child as if it were your own,3
16,6,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Just do what you need to do,2
16,28,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Just do what you need to do,2
16,7,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Be knowledgable in their field,3
16,26,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Respect each patient is different,3
16,13,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Nothing,2
16,25,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Treat each child as if it were your own,3
30,26,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Prevent bias,3
30,1,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,To compare the two methods,3
30,19,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,See if new method is working,3
30,12,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,To compare the two methods,3
30,0,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Blind study- randomization,3
30,16,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Limit bias,3
30,18,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Picking random communities,3
30,23,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,To compare the two methods,3
30,31,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Try different interventions to see which works,3
30,30,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,See if new method is working,3
30,15,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Prevent bias,3
30,14,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Different groups,3
30,6,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Manipulate data,2
30,27,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Limit bias,3
30,4,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Prevent bias,3
11,5,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Medical professional,3
11,26,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Medical professionals,3
11,11,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Doctors,3
11,7,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Doctor,3
11,12,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Professionals,3
11,13,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",No,1
11,1,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Professionals,3
11,8,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",doctor,3
11,9,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Medical team,3
11,16,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Medical professional,3
11,18,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Doctor,3
11,29,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Doctor,3
11,15,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Medical professionals,3
11,19,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",doctor,3
11,24,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",No,1
31,29,"What concerns, if any, do you have about the random assignment of the ambulance agencies regarding when they switch to the new method of dosing?",No,1
31,7,"What concerns, if any, do you have about the random assignment of the ambulance agencies regarding when they switch to the new method of dosing?",No,1
31,18,"What concerns, if any, do you have about the random assignment of the ambulance agencies regarding when they switch to the new method of dosing?",No,1
5,18,What are your thoughts about research trials that test medications to treat seizures?,I don't want it on my children unless it's in a hospital and doctors are doing the work,2
5,0,What are your thoughts about research trials that test medications to treat seizures?,"Fantastic, help life-threatening condition",5
5,23,What are your thoughts about research trials that test medications to treat seizures?,Whatever you have to do in the moment should be done,5
5,20,What are your thoughts about research trials that test medications to treat seizures?,Important,4
5,28,What are your thoughts about research trials that test medications to treat seizures?,Important,4
5,1,What are your thoughts about research trials that test medications to treat seizures?,Whatever you have to do in the moment should be done,4
5,25,What are your thoughts about research trials that test medications to treat seizures?,Vitally important to help the child,5
5,27,What are your thoughts about research trials that test medications to treat seizures?,"Important, very pro-research",5
5,4,What are your thoughts about research trials that test medications to treat seizures?,We need to help the children,4
5,12,What are your thoughts about research trials that test medications to treat seizures?,Whatever you have to do in the moment should be done,5
5,22,What are your thoughts about research trials that test medications to treat seizures?,"Fantastic, help life-threatening condition",5
5,19,What are your thoughts about research trials that test medications to treat seizures?,Important,4
5,6,What are your thoughts about research trials that test medications to treat seizures?,Important,4
5,7,What are your thoughts about research trials that test medications to treat seizures?,I don't want it on my children unless it's in a hospital and doctors are doing the work,2
5,26,What are your thoughts about research trials that test medications to treat seizures?,We need to help the children,4
39,5,Who do you think should be included in this community consultation process?,Community leaders,4
39,18,Who do you think should be included in this community consultation process?,"MDs, insurace, patients",4
39,30,Who do you think should be included in this community consultation process?,Parents and doctors,4
39,16,Who do you think should be included in this community consultation process?,Community leaders,4
39,17,Who do you think should be included in this community consultation process?,Parents,4
39,22,Who do you think should be included in this community consultation process?,Parents of children with epilepsy,4
39,14,Who do you think should be included in this community consultation process?,Parents,4
39,2,Who do you think should be included in this community consultation process?,Parents,4
39,20,Who do you think should be included in this community consultation process?,Ers and neurologists,4
39,8,Who do you think should be included in this community consultation process?,Parents and doctors,4
39,19,Who do you think should be included in this community consultation process?,Parents and doctors,4
39,0,Who do you think should be included in this community consultation process?,Parents of children with epilepsy,4
39,23,Who do you think should be included in this community consultation process?,Parents with expertience with epilepsy,4
39,1,Who do you think should be included in this community consultation process?,Parents with expertience with epilepsy,4
39,7,Who do you think should be included in this community consultation process?,"MDs, insurace, patients",4
28,8,How important do you think it is to do this study in your community?,Important,4
28,11,How important do you think it is to do this study in your community?,Extremely important,5
28,20,How important do you think it is to do this study in your community?,Extremely,3
28,2,How important do you think it is to do this study in your community?,"Very important, just needs more background about patients",4
28,15,How important do you think it is to do this study in your community?,Very beneficial,5
28,17,How important do you think it is to do this study in your community?,Very important,5
28,18,How important do you think it is to do this study in your community?,Important,4
28,19,How important do you think it is to do this study in your community?,Important,4
28,30,How important do you think it is to do this study in your community?,Important,4
28,13,How important do you think it is to do this study in your community?,"Very important, just needs more background about patients",5
28,6,How important do you think it is to do this study in your community?,Very important,5
28,22,How important do you think it is to do this study in your community?,Extremely important,5
28,26,How important do you think it is to do this study in your community?,Very beneficial,5
28,27,How important do you think it is to do this study in your community?,"Agree, but have to make sure the community is well-represented (diverse",4
28,25,How important do you think it is to do this study in your community?,"Very important, keep hospitalization rates down",5
37,8,Who do you think would possibly benefit from this study?,Patients,4
37,18,Who do you think would possibly benefit from this study?,"Child, parent, MD, insurance",4
37,15,Who do you think would possibly benefit from this study?,Children and their families,4
37,25,Who do you think would possibly benefit from this study?,Children and eventually adult patients,4
37,3,Who do you think would possibly benefit from this study?,Children and eventually adult patients,4
37,28,Who do you think would possibly benefit from this study?,Children,4
37,16,Who do you think would possibly benefit from this study?,"Children, medical personnel",4
37,4,Who do you think would possibly benefit from this study?,Children and their families,4
37,9,Who do you think would possibly benefit from this study?,Patients,4
37,0,Who do you think would possibly benefit from this study?,Child that receives medicine,4
37,19,Who do you think would possibly benefit from this study?,Patients,4
37,14,Who do you think would possibly benefit from this study?,Children and eventually adult patients,4
37,26,Who do you think would possibly benefit from this study?,Children and their families,4
37,20,Who do you think would possibly benefit from this study?,Patients,4
37,11,Who do you think would possibly benefit from this study?,Child that receives medicine,4