,,"Put the best theme number in the annotation column (if multiple themes apply, pick the more specific one). Multiple responses from the same question are grouped together to make it easier",,,,,,
site,question,response,annotation,Theme 1,Theme 2,Theme 3,Theme 4,Theme 5
Atlanta,Tell me a little about your experience with seizures,Twin sons with epilepsy,1,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Son once,1,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Son,1,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Son has had 2,1,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Daughter genetic syndrome,2,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Self and son with fevers,3,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Self and child,3,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,"Daughter, febrile seizures",2,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Daughter,2,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Daughter,2,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Columbus,Tell me about a time when you have had to call 9-1-1…?,"A family member, difficulty breathing. Older lady, didn't want me to call 911. Called the local squad came in.I did initial assessment or summary. I think it's muscle memory. I turned into paramedic, did the initial assessment on, and when the family or when the squad showed up. One of the members knew me, so they asked me what was going on",1,Calling 911 for family members with health issues,Calling 911 for seizures specifically,Positive experiences with emergency services,Providing medical assistance before or during the emergency services' arrival,
Columbus,Tell me about a time when you have had to call 9-1-1…?,"My grandma she had sudden onset atrial fibrillation. It was undiagnosed at that time, so she said, you know she's feeling. Dizzy and I took her pulse, noticed A-fib so we got an ambulance for at that time",1,Calling 911 for family members with health issues,Calling 911 for seizures specifically,Positive experiences with emergency services,Providing medical assistance before or during the emergency services' arrival,
Columbus,Tell me about a time when you have had to call 9-1-1…?,"I've called the ambulance for my son for the seizures. We only actually called them once and the other times we just took him right to the hospital cause we live close to the hospital. I've also called 911 for strangers. I work in healthcare, so I've called 911 before for other people. I've had seizure situations and I called 911 for somebody I was working with",1,Calling 911 for family members with health issues,Calling 911 for seizures specifically,Positive experiences with emergency services,Providing medical assistance before or during the emergency services' arrival,
Columbus,Tell me about a time when you have had to call 9-1-1…?,"The only we've had to call any ambulances for our kids or for my husband and I have vasovagal syncope and will pass out on occasion, so I've had ambulances called for me. Sometimes I take them, sometimes I don't",1,Calling 911 for family members with health issues,Calling 911 for seizures specifically,Positive experiences with emergency services,Providing medical assistance before or during the emergency services' arrival,
Columbus,Tell me about a time when you have had to call 9-1-1…?,"Wow, I've had to call them on my kids, my mom, and my grandfather, more for my grandma and my mom and my grandpa, they're having health issues. For my kids, it seemed like they took forever. It really did. It seemed like it took them a lot longer to get here then expected we have a firehouse, literally right down the street from where we live. And it took them, I want to say eight to 10 minutes just to get to our house. And it seems like that especially when my kids were in that seizure just seemed like it was very long. So it's frantic, like it's not calming?",1,Calling 911 for family members with health issues,Calling 911 for seizures specifically,Positive experiences with emergency services,Providing medical assistance before or during the emergency services' arrival,
Columbus,Tell me about a time when you have had to call 9-1-1…?,"The first time we ever had to call 911. He was having a grand Mal seizure. He turned black and blue and was unresponsive for more than 10 minutes and we had to call EMS out to revive him. We don’t call unless they last more than 6 minutes after the emergency med has been introduced. If it lasts that extra minute, then we have to call EMS",2,Calling 911 for family members with health issues,Calling 911 for seizures specifically,Positive experiences with emergency services,Providing medical assistance before or during the emergency services' arrival,
Columbus,Tell me about a time when you have had to call 9-1-1…?,"Yes, first time it occurred, I was not the person that made the phone call, I instructed someone else to make the phone call. And it was a little bit chaotic. So following that incident, I actually sat down and talked with some of the staff that sat nearby that person and also with the secretary just to give her an idea and give them an idea what to do should it happen again, and who to call and how to react. So I did a little bit of community public education. But anytime I called it was it was good. And actually each time I had medics arrive here that were medics I had mentored in their process becoming medics, so that that was different. Great, it relaxes the whole situation for everybody",2,Calling 911 for family members with health issues,Calling 911 for seizures specifically,Positive experiences with emergency services,Providing medical assistance before or during the emergency services' arrival,
Columbus,Tell me about a time when you have had to call 9-1-1…?,"Yeah, so the most recent one was my wife basically, I think her blood pressure dropped really low. I kind of knew it was coming on or felt like it was coming on and gave me a heads up. I didn't get in there in time and she hit her head on the way down on the toilet and had what I think was a very short seizure. She was out a very short amount of time and then kind of came back around. I definitely called 911 for that. It didn't end up transporting to the hospital or anything like that. It was more of hey, let's check her vital signs and all that kind of jazz. I was comfortable with her not going to the hospital not being seen",1,Calling 911 for family members with health issues,Calling 911 for seizures specifically,Positive experiences with emergency services,Providing medical assistance before or during the emergency services' arrival,
Columbus,Tell me about a time when you have had to call 9-1-1…?,"When my son a stopped breathing during a seizure. Actually I was driving so I had to take him to the emergency room, urgent care was our closest place in which called an ambulance to take him to the emergency sleep room",1,Calling 911 for family members with health issues,Calling 911 for seizures specifically,Positive experiences with emergency services,Providing medical assistance before or during the emergency services' arrival,
Columbus,Tell me about a time when you have had to call 9-1-1…?,"It was positive. I've called the squad twice. Both were positive interactions. I felt like they were very professional, very calm. The first time was because my son has a seizure disorder. I had given him my rescue medicine at home and I didn't. it was working. It was my first time doing it. By the time they got here, medicine had actually started to work. And they stuck around. They monitored him for me and it was fine. You know they did not transport him. Second time, I just wasn't sure if it was a seizure or not. Was just a little odd for how we typically present at my house, so I did call the squad. They assessed him pretty quickly, decided it would be good to transport him down to the hospital. I don't remember if they gave him any medicine on the way or if they felt like it was an active seizure at the time. I just don't recall, but felt very confident that they had it under control",3,Calling 911 for family members with health issues,Calling 911 for seizures specifically,Positive experiences with emergency services,Providing medical assistance before or during the emergency services' arrival,
WashingtonDC,What are your thoughts about research trials that test medications to treat seizures?,"""I mean, I don't think there had to have been a lot of research that went into coming up with a plan, so I feel like if it is in a trial basis that the prior research has already been done to feel like it's effective and safe to run the trial for. So I feel like they can be beneficial and help in the long run.""",2,Support for research trials due to personal experiences with seizures,General approval of research trials for the advancement of medicine,Uncertainty or lack of opinion about research trials,,
WashingtonDC,What are your thoughts about research trials that test medications to treat seizures?,"""I think any research that's done to help people with you know, decreased seizures. I think. I think it's great. I think it's important. It's necessary because there's a lot of damage that can occur for some people who have repeated seizures. So I think it's good, useful.""",2,Support for research trials due to personal experiences with seizures,General approval of research trials for the advancement of medicine,Uncertainty or lack of opinion about research trials,,
WashingtonDC,What are your thoughts about research trials that test medications to treat seizures?,"""I don’t have an answer for that.""",3,Support for research trials due to personal experiences with seizures,General approval of research trials for the advancement of medicine,Uncertainty or lack of opinion about research trials,,
WashingtonDC,What are your thoughts about research trials that test medications to treat seizures?,"""I think it's important [because] I have a family member who suffers from a severe form of epilepsy and so we have a lot of seizure activity at two, I think because he has drive as we have experienced a lot of medication failures that are not able to stop or prevent him from having seizures. I think it's important for the advancement of medicine so that one day we can get to a place where he doesn't have to have seizures.""",1,Support for research trials due to personal experiences with seizures,General approval of research trials for the advancement of medicine,Uncertainty or lack of opinion about research trials,,
WashingtonDC,What are your thoughts about research trials that test medications to treat seizures?,"""I'm not against it, I believe that it's part, it's probably a good idea because I'd rather a research study to find out more about it and secure my daughter so she won't have seizures than to be put through that every time when she has a seizure.""",1,Support for research trials due to personal experiences with seizures,General approval of research trials for the advancement of medicine,Uncertainty or lack of opinion about research trials,,
WashingtonDC,What are your thoughts about research trials that test medications to treat seizures?,"""On a whole, the average person doesn't know what they're being given unless it's, you know something routine for them. And I would say in emergency situation you just want the child to get better or the person to get better. Don't necessarily have to be a child. So I guess, uhm, I guess yeah. I'm sorry, threw me off guard 'cause I'm I know when they come ask me about the approach and I did the survey I remember it being dosage so I guess the whole just the experimental medication without any research behind it, I'm on the fence.""",3,Support for research trials due to personal experiences with seizures,General approval of research trials for the advancement of medicine,Uncertainty or lack of opinion about research trials,,
WashingtonDC,What are your thoughts about research trials that test medications to treat seizures?,"""I think it's OK to do a research on a lot of you know people to find out what's going on 'cause all of our bodies are different so things happen, you know, so it's good to find out what's going on. Like what's happening now, even though we're not talking about that. But it, it's best to find out. You know what scientists could do. For all of us out here to help everybody.""",2,Support for research trials due to personal experiences with seizures,General approval of research trials for the advancement of medicine,Uncertainty or lack of opinion about research trials,,
WashingtonDC,What are your thoughts about research trials that test medications to treat seizures?,"""It's fantastic. I think it would have solved part of our problem, since we had never dealt with anything like that. We were really unaware, like is this like a seizure or is this not a seizure? We were just like, you know, is this a bad dream kind of thing. Butthen once we went through that experience, we kind of knew that this is what it is. So yeah, I think it’d be great because a lot of people don’t know what’s going on and we didn’t know. We went like on the internet, and they say if it’s 15 minutes or longer, but then the doctors say no if it’s 5 minutes or longer then you should call an ambulance. So I think that [information] would have been helpful.""",1,Support for research trials due to personal experiences with seizures,General approval of research trials for the advancement of medicine,Uncertainty or lack of opinion about research trials,,
WashingtonDC,What are your thoughts about research trials that test medications to treat seizures?,"""Well, I think it makes sense that they're not able to sign informed consent due to the emergency of the study, and it has to be something that is already, you know we're not able to get on the time to sign and agree to the study. It has to be something that you can do in an emergency situation, so that part...be able to successfully do this research study makes sense. I think it's important that we have studies like this, otherwise we'll never be able to advance the field of how to treat an emergency, how to treat patients in an emergency situation.""",2,Support for research trials due to personal experiences with seizures,General approval of research trials for the advancement of medicine,Uncertainty or lack of opinion about research trials,,
Atlanta,"In that moment, when a paramedic is getting ready to treat your child who is having a seizure, would you have been able to make an informed decision about whether or not to participate in a research study?","Yes, I just want him treated",3,Affirmative responses,Negative responses,Preference for immediate treatment,Inappropriate timing,
Atlanta,"In that moment, when a paramedic is getting ready to treat your child who is having a seizure, would you have been able to make an informed decision about whether or not to participate in a research study?",I would want them to just do it,3,Affirmative responses,Negative responses,Preference for immediate treatment,Inappropriate timing,
Atlanta,"In that moment, when a paramedic is getting ready to treat your child who is having a seizure, would you have been able to make an informed decision about whether or not to participate in a research study?",Yes,1,Affirmative responses,Negative responses,Preference for immediate treatment,Inappropriate timing,
Atlanta,"In that moment, when a paramedic is getting ready to treat your child who is having a seizure, would you have been able to make an informed decision about whether or not to participate in a research study?",Yes,1,Affirmative responses,Negative responses,Preference for immediate treatment,Inappropriate timing,
Atlanta,"In that moment, when a paramedic is getting ready to treat your child who is having a seizure, would you have been able to make an informed decision about whether or not to participate in a research study?",Yes,1,Affirmative responses,Negative responses,Preference for immediate treatment,Inappropriate timing,
Atlanta,"In that moment, when a paramedic is getting ready to treat your child who is having a seizure, would you have been able to make an informed decision about whether or not to participate in a research study?",It wouldn't be the right time to ask,4,Affirmative responses,Negative responses,Preference for immediate treatment,Inappropriate timing,
Atlanta,"In that moment, when a paramedic is getting ready to treat your child who is having a seizure, would you have been able to make an informed decision about whether or not to participate in a research study?",Yes,1,Affirmative responses,Negative responses,Preference for immediate treatment,Inappropriate timing,
Atlanta,"In that moment, when a paramedic is getting ready to treat your child who is having a seizure, would you have been able to make an informed decision about whether or not to participate in a research study?",No,2,Affirmative responses,Negative responses,Preference for immediate treatment,Inappropriate timing,
Atlanta,"In that moment, when a paramedic is getting ready to treat your child who is having a seizure, would you have been able to make an informed decision about whether or not to participate in a research study?",No,2,Affirmative responses,Negative responses,Preference for immediate treatment,Inappropriate timing,
Atlanta,"In that moment, when a paramedic is getting ready to treat your child who is having a seizure, would you have been able to make an informed decision about whether or not to participate in a research study?",Yes,1,Affirmative responses,Negative responses,Preference for immediate treatment,Inappropriate timing,
Columbus,"Would you want somebody else to decide if your child could be a research subject? If so, who?",either any of my parents or my wife,1,Preference for family members to decide,Preference for healthcare professionals to decide,Personal decision only,Unclear response,
Columbus,"Would you want somebody else to decide if your child could be a research subject? If so, who?","Yes, if I mean if my child was having a seizure. I would utilize the research trial. Yes, I would be [OK]. You know preferably my parents or my in-laws. But I guess depending where and what the situation was. They would just do what would be in the best interest of the child. You know, if we had a pediatrician or an ER doc that was saying, hey, I've read about this trial. I know some participants of medical insight into consideration and make that decision",1,Preference for family members to decide,Preference for healthcare professionals to decide,Personal decision only,Unclear response,
Columbus,"Would you want somebody else to decide if your child could be a research subject? If so, who?",I'd rather a health care provider make that call,2,Preference for family members to decide,Preference for healthcare professionals to decide,Personal decision only,Unclear response,
Columbus,"Would you want somebody else to decide if your child could be a research subject? If so, who?","Yes, if I am unable to give the consent, or there's something that's not allowing me to then yes, I would like, for my mom or somebody that is close to what's going on to get the consent, so yes",1,Preference for family members to decide,Preference for healthcare professionals to decide,Personal decision only,Unclear response,
Columbus,"Would you want somebody else to decide if your child could be a research subject? If so, who?",Yep. Okay,4,Preference for family members to decide,Preference for healthcare professionals to decide,Personal decision only,Unclear response,
Columbus,"Would you want somebody else to decide if your child could be a research subject? If so, who?","No, I wouldn't want anybody else to make that decision either",3,Preference for family members to decide,Preference for healthcare professionals to decide,Personal decision only,Unclear response,
WashingtonDC,"What do you think could be some of the challenges when doing research on emergency, time-sensitive conditions?","""I don't know how to answer that, I'm being honest.""",3,Challenges related to time constraints and decision making,Challenges related to consent and ethical considerations,Challenges related to communication and information dissemination,Emotional and psychological challenges,Challenges related to participation and resources
WashingtonDC,"What do you think could be some of the challenges when doing research on emergency, time-sensitive conditions?","""I stay pretty calm in those situations. But I think if they were like we're going to give her, you know a, you know we're testing treatment for seizures and children and we want to give her this experimental dose to help stop her seizures. I think it would depend on how it was presented. So I think it would be, you know if somebody is like never, you know they didn't know their child was, this is the first child or the first seizure they've ever seen, or the first time they've ever seen their child having a seizure. That could be way different situation than mine where I can look and go 'oh yeah, she's having a seizure, yeah? Go ahead and give it, you know that's fine.'...I think it depends on your situation.""",4,Challenges related to time constraints and decision making,Challenges related to consent and ethical considerations,Challenges related to communication and information dissemination,Emotional and psychological challenges,Challenges related to participation and resources
WashingtonDC,"What do you think could be some of the challenges when doing research on emergency, time-sensitive conditions?","""Time lost. Just that. Time lost that could potentially be life saving or decrease damage to the brain. Death. So time really, it could save a lot of precious time.""",1,Challenges related to time constraints and decision making,Challenges related to consent and ethical considerations,Challenges related to communication and information dissemination,Emotional and psychological challenges,Challenges related to participation and resources
WashingtonDC,"What do you think could be some of the challenges when doing research on emergency, time-sensitive conditions?","""I don’t know how to answer that question.""",3,Challenges related to time constraints and decision making,Challenges related to consent and ethical considerations,Challenges related to communication and information dissemination,Emotional and psychological challenges,Challenges related to participation and resources
WashingtonDC,"What do you think could be some of the challenges when doing research on emergency, time-sensitive conditions?","""Probably the biggest challenge is making sure that the paramedic team can multitask. The nurse, something that they have to do or capture information or data that they have to document. In that process, you know just making sure that they don't lose focus on on the main thing and the main thing is keeping a child you know, alive and doing well as well as can be, you know, under the circumstances.""",1,Challenges related to time constraints and decision making,Challenges related to consent and ethical considerations,Challenges related to communication and information dissemination,Emotional and psychological challenges,Challenges related to participation and resources
WashingtonDC,"What do you think could be some of the challenges when doing research on emergency, time-sensitive conditions?","""What might come up is people who people not participate in time, money.""",1,Challenges related to time constraints and decision making,Challenges related to consent and ethical considerations,Challenges related to communication and information dissemination,Emotional and psychological challenges,Challenges related to participation and resources
WashingtonDC,"What do you think could be some of the challenges when doing research on emergency, time-sensitive conditions?","""Just a time like you don't have it, so it's like you're making an immediate decision without, you know, and it's time sensitive like you don't have time to research and weigh the options.""",1,Challenges related to time constraints and decision making,Challenges related to consent and ethical considerations,Challenges related to communication and information dissemination,Emotional and psychological challenges,Challenges related to participation and resources
WashingtonDC,"What do you think could be some of the challenges when doing research on emergency, time-sensitive conditions?","""Trying to try to stay calm number one and try to think hard of what I should do. You know the you know 'cause you can freak out real quick when you see somebody doing that. You know if your mind you know something you your mind is like a challenge. You know when people going through that, so it's like a it's a shock and a challenge.""",4,Challenges related to time constraints and decision making,Challenges related to consent and ethical considerations,Challenges related to communication and information dissemination,Emotional and psychological challenges,Challenges related to participation and resources
WashingtonDC,"What do you think could be some of the challenges when doing research on emergency, time-sensitive conditions?","""Getting it out to parents I think is a big challenge. Just because you know they tell you in the doctor's office like they could have a fever and get a seizure that way, butthey don't tell you about all the other kinds of seizures that there are and what to look for. I think just making it available, you know, at like the pediatricians. Not that every parent is going to sit there and read all this stuff. But gosh if I had known a non-febrile type seizure I'd certainly been like --hey that's a seizure, not a bad nightmare.""",5,Challenges related to time constraints and decision making,Challenges related to consent and ethical considerations,Challenges related to communication and information dissemination,Emotional and psychological challenges,Challenges related to participation and resources
WashingtonDC,"What do you think could be some of the challenges when doing research on emergency, time-sensitive conditions?","""The only way to do these studies successfully and to get the numbers in enrollment, we have a waiver of informed consent. And I suspect...more and more complicated process to get a waiver because you need to have make sure it's gone through the right protections to protect the general public. If there's a waiver of informed consent and there should be more steps to it, it should be more complicated, but it's necessary.""",5,Challenges related to time constraints and decision making,Challenges related to consent and ethical considerations,Challenges related to communication and information dissemination,Emotional and psychological challenges,Challenges related to participation and resources
Atlanta,What do you think are the benefits of doing research in emergency situations without a patient’s informed consent?,Get information,2,Speed and Efficiency,Knowledge and Future Improvement,,,
Atlanta,What do you think are the benefits of doing research in emergency situations without a patient’s informed consent?,Give treatment rapidly,1,Speed and Efficiency,Knowledge and Future Improvement,,,
Atlanta,What do you think are the benefits of doing research in emergency situations without a patient’s informed consent?,Act fast,1,Speed and Efficiency,Knowledge and Future Improvement,,,
Atlanta,What do you think are the benefits of doing research in emergency situations without a patient’s informed consent?,Avoid bias,2,Speed and Efficiency,Knowledge and Future Improvement,,,
Atlanta,What do you think are the benefits of doing research in emergency situations without a patient’s informed consent?,Act quickly,1,Speed and Efficiency,Knowledge and Future Improvement,,,
Atlanta,What do you think are the benefits of doing research in emergency situations without a patient’s informed consent?,Improve outcomes for future patients,2,Speed and Efficiency,Knowledge and Future Improvement,,,
Atlanta,What do you think are the benefits of doing research in emergency situations without a patient’s informed consent?,Act quickly,1,Speed and Efficiency,Knowledge and Future Improvement,,,
Columbus,How important do you think it is to do this study in your community?,Extremely important,1,General Importance,Importance due to High Incidence of Seizures,Importance for Better Community Health Care,,
Columbus,How important do you think it is to do this study in your community?,"I think that it's a good choice with this community. Anything to streamline the Verset administration and you know, kind of take the guesswork out of correct dosing, it's always going to be a winner in my book",1,General Importance,Importance due to High Incidence of Seizures,Importance for Better Community Health Care,,
Columbus,How important do you think it is to do this study in your community?,"I think it's very important because I don't know the studies or what's behind seizures. If it will continue, but I think obviously there's lots of risk to having prolonged seizures and stop breathing just from that alone and brain damage, so it's important",2,General Importance,Importance due to High Incidence of Seizures,Importance for Better Community Health Care,,
Columbus,How important do you think it is to do this study in your community?,"It's probably pretty important. I mean, there are a fair amount of kids that have seizures every year and a lot of times we don't even know why. So I mean, being able to treat them so we can stabilize them and figure out what's going on is a good thing",2,General Importance,Importance due to High Incidence of Seizures,Importance for Better Community Health Care,,
Columbus,How important do you think it is to do this study in your community?,"I think it's really important, honestly. You know, there is a lot of people that probably have seizures around here. I I wouldn't know personally, but I know some friends and stuff that have kids that have experienced seizures or has epilepsy, so I think this research is really nice to have in our community. I follow this thing on my phone it shows where the ambulances or anything is like distributed. So like certain addresses, it gives off what they're going for and a lot of them have seizure. So I think it's a very good thing for our community. I think it would help a lot",2,General Importance,Importance due to High Incidence of Seizures,Importance for Better Community Health Care,,
Columbus,How important do you think it is to do this study in your community?,"It is really important. Because like I said, it is a learning curve and the more we learn, the better you know EMS could help. In any event you know they would have to be taken in",1,General Importance,Importance due to High Incidence of Seizures,Importance for Better Community Health Care,,
Columbus,How important do you think it is to do this study in your community?,"It's huge. It's very important. We're a large and growing population. And we've got an enormous number of kids in the community. And sadly, I think we're almost seeing a decrease in preventive care. And, again, it's likely based on where I work, and the community that I serve but I see a lot of children who have less than what I would consider ample preventative care, and a lot of under informed or completely uninformed parents. So yes, it's important",3,General Importance,Importance due to High Incidence of Seizures,Importance for Better Community Health Care,,
Columbus,How important do you think it is to do this study in your community?,"I think it's super important. I mean we have huge population which I'm sure is why you guys are choosing the places you've chosen. A large population and a lot of kids, so anything we can do to not only reduce the stress on the paramedics but just get the child treated quicker you know, I think it's a great thing, so there's only one way to find out if that will work or not. I guess is to do the study so I'm all for it",3,General Importance,Importance due to High Incidence of Seizures,Importance for Better Community Health Care,,
Columbus,How important do you think it is to do this study in your community?,I think it's very important,1,General Importance,Importance due to High Incidence of Seizures,Importance for Better Community Health Care,,
Columbus,How important do you think it is to do this study in your community?,"I think this is very important, so just because I understand a little bit more probably than a typical mom would about seizures. That five minute thing terrified me every second that goes past five minutes is a second of what is going to happen. So yeah, I think it's very important",1,General Importance,Importance due to High Incidence of Seizures,Importance for Better Community Health Care,,
WashingtonDC,What is your understanding about this study’s purpose?,"""To find a quickest, faster way to treat the child before they come. I mean before they arrive to the hospital so they get treated by the doctors. And things like to stabilize them so they can, you know, be relaxed and you know.""",1,Quick administration of medication,Prevention of seizures before reaching the hospital,Understanding and learning about seizures,,
WashingtonDC,What is your understanding about this study’s purpose?,"""It's taking out the measuring of the [medication] and getting medication administered more quickly.""",1,Quick administration of medication,Prevention of seizures before reaching the hospital,Understanding and learning about seizures,,
WashingtonDC,What is your understanding about this study’s purpose?,"""To prevent kids having a seizure all the way to the hospital to stop him before go too long.""",2,Quick administration of medication,Prevention of seizures before reaching the hospital,Understanding and learning about seizures,,
WashingtonDC,What is your understanding about this study’s purpose?,"""To stop it, a child or having the paramedics with the right medication to not have a child having a full blown seizure by the time they get to the emergency room.""",2,Quick administration of medication,Prevention of seizures before reaching the hospital,Understanding and learning about seizures,,
WashingtonDC,What is your understanding about this study’s purpose?,"""My understanding is the purpose is is getting to learn each human being out here and more like to find out about a person having a seizure, you know or not 'cause it might help the situation as a little as they grow as if it might stop it.""",3,Quick administration of medication,Prevention of seizures before reaching the hospital,Understanding and learning about seizures,,
WashingtonDC,What is your understanding about this study’s purpose?,"""So we are trying to get more timely administration of anti epileptics, interactive seizing patients, uhm, with using more general age based dosing versus weight based calculations.""",1,Quick administration of medication,Prevention of seizures before reaching the hospital,Understanding and learning about seizures,,
