,,"Put the best theme number in the annotation column (if multiple themes apply, pick the more specific one). Multiple responses from the same question are grouped together to make it easier",,,,,,
Atlanta,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Blind study- randomization,1,Randomization and Bias Prevention,Comparison and Evaluation of Methods,Unrelated or Unclear Responses,,
Atlanta,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,To compare the two methods,2,Randomization and Bias Prevention,Comparison and Evaluation of Methods,Unrelated or Unclear Responses,,
Atlanta,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Different groups,3,Randomization and Bias Prevention,Comparison and Evaluation of Methods,Unrelated or Unclear Responses,,
Atlanta,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Prevent bias,1,Randomization and Bias Prevention,Comparison and Evaluation of Methods,Unrelated or Unclear Responses,,
Atlanta,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Limit bias,1,Randomization and Bias Prevention,Comparison and Evaluation of Methods,Unrelated or Unclear Responses,,
Atlanta,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Manipulate data,3,Randomization and Bias Prevention,Comparison and Evaluation of Methods,Unrelated or Unclear Responses,,
Atlanta,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Picking random communities,1,Randomization and Bias Prevention,Comparison and Evaluation of Methods,Unrelated or Unclear Responses,,
Atlanta,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,See if new method is working,2,Randomization and Bias Prevention,Comparison and Evaluation of Methods,Unrelated or Unclear Responses,,
Atlanta,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Try different interventions to see which works,2,Randomization and Bias Prevention,Comparison and Evaluation of Methods,Unrelated or Unclear Responses,,
Columbus,"What are your fears or worries, if any, regarding the study?","None as long as if it comes out with valid point. Biggest thing is if it comes out with valid points that are going to help us help people, just getting the answers out and then getting the EMS world to change",1,No concerns or fears,Concerns about safety and proper dosage,Worries about participation rate,,
Columbus,"What are your fears or worries, if any, regarding the study?","No, Sir",1,No concerns or fears,Concerns about safety and proper dosage,Worries about participation rate,,
Columbus,"What are your fears or worries, if any, regarding the study?","I think just safety, but I'm pretty sure that safety for you guys is forefront too and then so I don't really have any big concerns to be honest with you",2,No concerns or fears,Concerns about safety and proper dosage,Worries about participation rate,,
Columbus,"What are your fears or worries, if any, regarding the study?",Nothing comes to mind,1,No concerns or fears,Concerns about safety and proper dosage,Worries about participation rate,,
Columbus,"What are your fears or worries, if any, regarding the study?",You answered them with the dosage part so I'm good,1,No concerns or fears,Concerns about safety and proper dosage,Worries about participation rate,,
Columbus,"What are your fears or worries, if any, regarding the study?","At this point, I don't think I have any",1,No concerns or fears,Concerns about safety and proper dosage,Worries about participation rate,,
Columbus,"What are your fears or worries, if any, regarding the study?","I don't think so. I guess maybe more for the last question. I feel like by not switching or getting the opportunity out as quickly as possible we're still running the risk that kids aren't getting the potential appropriate dosing as quickly as they could. So I guess if I was one of those kids parents I said, you guys are doing a study and my kid could have received the accurate, the proper dosing sooner, and you didn't do that. I don't know",2,No concerns or fears,Concerns about safety and proper dosage,Worries about participation rate,,
Columbus,"What are your fears or worries, if any, regarding the study?",That we won't get that there won't be enough people participating in it,3,No concerns or fears,Concerns about safety and proper dosage,Worries about participation rate,,
Columbus,"What are your fears or worries, if any, regarding the study?","Getting too much of that medicine. It is a strong medicine. But the flip side of that is that you are with an ambulance and they are monitoring your breathing. EMS workers and they have oxygen and things like that are there so I don't know that there's a lot of risk if you have the rescue medicine at home. it'd be more scary for me to say, hey, we're going to have you do this, and it's going to be based on an age range. That is more concerning because I'm not a medical professional. EMS folks and the tools are there that if the breathing did slow down that they could address that. I don't think that I have a lot of worries about it",2,No concerns or fears,Concerns about safety and proper dosage,Worries about participation rate,,
WashingtonDC,How do you feel about not having a choice about participation in the study?,"""I would feel like upset about it, especially if I'm not aware of it. And what's going on? I would be like very upset about it if I didn't know anything about it.""",1,Negative/Concerned Responses,Trust in Medical Professionals,Indifferent/Neutral Responses,Positive/Supportive Responses,
WashingtonDC,How do you feel about not having a choice about participation in the study?,"""You have called the EMS for an emergency. They're there to do their job, and in that moment they're making that decision. What's best for your child?...I think it's trusting in the paramedics in your community, really.""",2,Negative/Concerned Responses,Trust in Medical Professionals,Indifferent/Neutral Responses,Positive/Supportive Responses,
WashingtonDC,How do you feel about not having a choice about participation in the study?,"""It's less about not having choice, because I understand that sometimes things need to be done or administered to save a life and they could be unconventional, sure, but this is a study like that's being planned, so there's also time to plan and figure out. Just like you sort of are with the survey, but because like you said everyone who goes into the ER is not necessarily going to be the same people who end up in the ER because like-what I'm saying is, you found me in the ER and so, I happen to be there. But if I had not been there that day, there should still be a way that I understand that it's possible if my child for some reason were to go to Children’s because of a seizure, they could be in this study and sort of just explain that at the very least, that's due diligence...There's a reason why we have informed consent, so as much as is humanly possible and reasonable to get the message out that this is going on in your community and this could be the case. I don't know whether there's an opt in or opt out. I guess not. I don't think that that's as important as just informing the people.""",3,Negative/Concerned Responses,Trust in Medical Professionals,Indifferent/Neutral Responses,Positive/Supportive Responses,
WashingtonDC,How do you feel about not having a choice about participation in the study?,"""I think most people want to help. So while you may not have a choice in participating at the time, I think a lot of people would be encouraged to know that...what they're pursuing and you know, may help advance medicine or save another person's life.""",4,Negative/Concerned Responses,Trust in Medical Professionals,Indifferent/Neutral Responses,Positive/Supportive Responses,
WashingtonDC,How do you feel about not having a choice about participation in the study?,"""If I choose not to, I shouldn't be putting it if I didn't agree to it.""",1,Negative/Concerned Responses,Trust in Medical Professionals,Indifferent/Neutral Responses,Positive/Supportive Responses,
WashingtonDC,How do you feel about not having a choice about participation in the study?,"""I don't care""",3,Negative/Concerned Responses,Trust in Medical Professionals,Indifferent/Neutral Responses,Positive/Supportive Responses,
WashingtonDC,How do you feel about not having a choice about participation in the study?,"""I feel this is pretty good of learning""",4,Negative/Concerned Responses,Trust in Medical Professionals,Indifferent/Neutral Responses,Positive/Supportive Responses,
WashingtonDC,How do you feel about not having a choice about participation in the study?,"""It doesn't bother me.""",4,Negative/Concerned Responses,Trust in Medical Professionals,Indifferent/Neutral Responses,Positive/Supportive Responses,
WashingtonDC,How do you feel about not having a choice about participation in the study?,"""The only way you could do this research.""",4,Negative/Concerned Responses,Trust in Medical Professionals,Indifferent/Neutral Responses,Positive/Supportive Responses,
Atlanta,"Why do you feel that way, and are those reasons related to prior experiences you or others have had?",It's to help children,1,Helping children,Personal experiences,General positive feelings,,
Atlanta,"Why do you feel that way, and are those reasons related to prior experiences you or others have had?",Feek good,3,Helping children,Personal experiences,General positive feelings,,
Atlanta,"Why do you feel that way, and are those reasons related to prior experiences you or others have had?","Yes, my son",2,Helping children,Personal experiences,General positive feelings,,
Atlanta,"Why do you feel that way, and are those reasons related to prior experiences you or others have had?",It's to help the children,1,Helping children,Personal experiences,General positive feelings,,
Atlanta,"Why do you feel that way, and are those reasons related to prior experiences you or others have had?",The potential is for the greater good,3,Helping children,Personal experiences,General positive feelings,,
Columbus,"What, if anything, is there that could change regarding the details of this study to make you feel comfortable with being enrolled without your permission?",I honestly can't think of anything,1,No changes needed,Need for clear communication and explanation,Concerns about specific procedures,,
Columbus,"What, if anything, is there that could change regarding the details of this study to make you feel comfortable with being enrolled without your permission?","No kind of like I mentioned a bullet point back that I would feel very comfortable with my child or family member being enrolled. Everything is pretty straightforward, so I I don't think we need to make anything more comfortable",1,No changes needed,Need for clear communication and explanation,Concerns about specific procedures,,
Columbus,"What, if anything, is there that could change regarding the details of this study to make you feel comfortable with being enrolled without your permission?","I think that the best thing is if people are armed with the knowledge of why you're doing it. Like I mentioned, it's an emergency measure. This is what they'll do in the emergency room anyways, and more than likely they're going to get the same, like it's for safety. We want to get the kid out of the seizure safely and get better chance of having better outcomes",2,No changes needed,Need for clear communication and explanation,Concerns about specific procedures,,
Columbus,"What, if anything, is there that could change regarding the details of this study to make you feel comfortable with being enrolled without your permission?",Nothing,1,No changes needed,Need for clear communication and explanation,Concerns about specific procedures,,
Columbus,"What, if anything, is there that could change regarding the details of this study to make you feel comfortable with being enrolled without your permission?","Just by having somebody explaining it. Yeah, I think that would would bring comfort. Talking about how when you're asking about the permission, just like explaining it to them in a way that they would understand, very calm, just being very kind and not like very rough. You know how sometimes your EMS can be like brutish sometimes. Just like being very calm and cool and collected just explaining hey, we're gonna do this and everything that we're doing. Just explain, like not scaring the patient",2,No changes needed,Need for clear communication and explanation,Concerns about specific procedures,,
Columbus,"What, if anything, is there that could change regarding the details of this study to make you feel comfortable with being enrolled without your permission?",No really,1,No changes needed,Need for clear communication and explanation,Concerns about specific procedures,,
Columbus,"What, if anything, is there that could change regarding the details of this study to make you feel comfortable with being enrolled without your permission?","The only thing that has come into my mind either during this interview or reading through stuff or thinking about is dosing based solely on age and we don't have. Somehow we end up in a case where we don't know a person's age. Well, he looks like my 3 year old. As long as there is a a solid backup and there's a number of good solid backups so that a patient doesn't go untreated",3,No changes needed,Need for clear communication and explanation,Concerns about specific procedures,,
Columbus,"What, if anything, is there that could change regarding the details of this study to make you feel comfortable with being enrolled without your permission?",Nothing is coming to mind honestly,1,No changes needed,Need for clear communication and explanation,Concerns about specific procedures,,
Columbus,"What, if anything, is there that could change regarding the details of this study to make you feel comfortable with being enrolled without your permission?",There's really ain't anything,1,No changes needed,Need for clear communication and explanation,Concerns about specific procedures,,
Columbus,"What, if anything, is there that could change regarding the details of this study to make you feel comfortable with being enrolled without your permission?",I don't need anything else,1,No changes needed,Need for clear communication and explanation,Concerns about specific procedures,,
WashingtonDC,How do you think this study might improve medical care for children with seizures?,"""Make the guess…planning better""",1,Improvement in immediate treatment and reduction of seizure duration,Increased knowledge and understanding for parents and caregivers,,,
WashingtonDC,How do you think this study might improve medical care for children with seizures?,"""Improve mental health care for children with seizures. I mean if they can stop them from seizing in if they're having an epileptic seizure and there is, you know, brain damage occurring just on the the sheer nature of what seizure you know happens with seizures. It can stop,you know, potential brain damage in children.""",1,Improvement in immediate treatment and reduction of seizure duration,Increased knowledge and understanding for parents and caregivers,,,
WashingtonDC,How do you think this study might improve medical care for children with seizures?,"""How it would improve care is that children are getting immediate relief or care from something that has the potential to do a lot of damage or can be life-threatening, that there's those precious minutes could be saved. So I mean, I think there's-it sounds very important.""",1,Improvement in immediate treatment and reduction of seizure duration,Increased knowledge and understanding for parents and caregivers,,,
WashingtonDC,How do you think this study might improve medical care for children with seizures?,"""Helping out more""",1,Improvement in immediate treatment and reduction of seizure duration,Increased knowledge and understanding for parents and caregivers,,,
WashingtonDC,How do you think this study might improve medical care for children with seizures?,"""I think it probably will have the best benefit for children who are not normally who have not been diagnosed with epilepsy of some sort. Those parents are probably the ones that are more scared as they proceed through like that type of issue and so I think it it probably will help improve their medical care. But for children which you know with epilepsy, I mean, I think we're all pretty well informed and we know what medications and we almost all carry emergency meds on us so I don't know if there's really any...I can't tell you very many EMTs that have come up to me that I've known more about epilepsy even than I have, so I'm here.""",2,Improvement in immediate treatment and reduction of seizure duration,Increased knowledge and understanding for parents and caregivers,,,
WashingtonDC,How do you think this study might improve medical care for children with seizures?,"""I think it would be great because if it cuts down on the time that they're having a seizure, you know, the less time they're having it, the better it is, the better the outcome. So I I can't see nothing wrong with it.""",1,Improvement in immediate treatment and reduction of seizure duration,Increased knowledge and understanding for parents and caregivers,,,
WashingtonDC,How do you think this study might improve medical care for children with seizures?,"""It will help a lot. It will help the parents to learn and understand it.""",2,Improvement in immediate treatment and reduction of seizure duration,Increased knowledge and understanding for parents and caregivers,,,
WashingtonDC,How do you think this study might improve medical care for children with seizures?,"""I think it could greatly improve this because it would potentially be more beneficial to kids having a seizure if they're given medicine that would help right?--That’s a much easier way to deal with administering that medication.""",1,Improvement in immediate treatment and reduction of seizure duration,Increased knowledge and understanding for parents and caregivers,,,
WashingtonDC,How do you think this study might improve medical care for children with seizures?,"""Faster and the epileptic dose to prevent morbidity from long seizures""",1,Improvement in immediate treatment and reduction of seizure duration,Increased knowledge and understanding for parents and caregivers,,,
Atlanta,Who do you think would possibly benefit from this study?,Child that receives medicine,1,Beneficiaries directly involved (children and their families),"Beneficiaries indirectly involved (medical personnel, insurance)",General beneficiaries (patients),,
Atlanta,Who do you think would possibly benefit from this study?,Child and parents,1,Beneficiaries directly involved (children and their families),"Beneficiaries indirectly involved (medical personnel, insurance)",General beneficiaries (patients),,
Atlanta,Who do you think would possibly benefit from this study?,Children and eventually adult patients,1,Beneficiaries directly involved (children and their families),"Beneficiaries indirectly involved (medical personnel, insurance)",General beneficiaries (patients),,
Atlanta,Who do you think would possibly benefit from this study?,Children and their families,1,Beneficiaries directly involved (children and their families),"Beneficiaries indirectly involved (medical personnel, insurance)",General beneficiaries (patients),,
Atlanta,Who do you think would possibly benefit from this study?,"Children, medical personnel",1,Beneficiaries directly involved (children and their families),"Beneficiaries indirectly involved (medical personnel, insurance)",General beneficiaries (patients),,
Atlanta,Who do you think would possibly benefit from this study?,Children,1,Beneficiaries directly involved (children and their families),"Beneficiaries indirectly involved (medical personnel, insurance)",General beneficiaries (patients),,
Atlanta,Who do you think would possibly benefit from this study?,"Child, parent, MD, insurance",1,Beneficiaries directly involved (children and their families),"Beneficiaries indirectly involved (medical personnel, insurance)",General beneficiaries (patients),,
Atlanta,Who do you think would possibly benefit from this study?,Patients,3,Beneficiaries directly involved (children and their families),"Beneficiaries indirectly involved (medical personnel, insurance)",General beneficiaries (patients),,
Atlanta,Who do you think would possibly benefit from this study?,Patients,3,Beneficiaries directly involved (children and their families),"Beneficiaries indirectly involved (medical personnel, insurance)",General beneficiaries (patients),,
Columbus,Who do you think should be included in this community consultation process?,"You've already hitting the emergency departments, the hospitals, EMS provider I'd say maybe the health department. They might be able to notify parents of potential candidates",1,Inclusion of Medical Professionals,Involvement of Parents and Patients,Community and Public Engagement,,
Columbus,Who do you think should be included in this community consultation process?,"I mentioned earlier talking with the pediatricians. Anytime you can involve a family physician or a you know primary care provider. That is going to put the patient or the parents minds at ease. EMS agencies that are going to be used and talk to the EMS, Lieutenant or you're down in Columbus, a battalion chief with a superior that's going to kind of oversee the paramedics that are involved with this study",1,Inclusion of Medical Professionals,Involvement of Parents and Patients,Community and Public Engagement,,
Columbus,Who do you think should be included in this community consultation process?,"Parents who have kids with seizures and the physicians who treat seizures, emergency medical people, they would probably be important to have two. Then even EMS people so they can give a little bit of background, what they've seen, how they can help you know what they do now",2,Inclusion of Medical Professionals,Involvement of Parents and Patients,Community and Public Engagement,,
Columbus,Who do you think should be included in this community consultation process?,"I guess like parents of young kids especially, I think especially parents of kids who haven't had seizures because parents who have kids who have had seizures are already well versed in what's going on, but parents of kids who haven't, it's uncharted territory. Their thoughts might be more helpful",2,Inclusion of Medical Professionals,Involvement of Parents and Patients,Community and Public Engagement,,
Columbus,Who do you think should be included in this community consultation process?,"I would say parents. Parents or anybody that does have seizures that are adult. Maybe even kids, I can understand like older kids that have seizures. Then like older adults. Who experienced seizures should be involved?",2,Inclusion of Medical Professionals,Involvement of Parents and Patients,Community and Public Engagement,,
Columbus,Who do you think should be included in this community consultation process?,I think the public should be well informed on what's going on. I believe everybody should be informed,3,Inclusion of Medical Professionals,Involvement of Parents and Patients,Community and Public Engagement,,
Columbus,Who do you think should be included in this community consultation process?,"Certainly open to parents, school leaders, and community leaders. I would involve members of the church and religious because I've had more occasions for people concerned about treatment based upon their personal understanding of religion. I guess faith communities were involved, they could go a long way if they understand, and then they communicate out to their congregations. You would have a much higher success and acceptance rate. I think you would see a big improvement or a big benefit that would be a huge part of the community that I would involve",2,Inclusion of Medical Professionals,Involvement of Parents and Patients,Community and Public Engagement,,
Columbus,Who do you think should be included in this community consultation process?,"Basically doing what you're doing now before it gets approved. I would say any child that's gone to you know children hospital or close to homes or whatever they have. Either been given medication and cine in with seizures. I mean maybe reaching out to them. Hey, what do you think about this?",2,Inclusion of Medical Professionals,Involvement of Parents and Patients,Community and Public Engagement,,
Columbus,Who do you think should be included in this community consultation process?,"I think local hospitals. And then I think the Community, I think the City Council or local government should be involved to discuss it as well",3,Inclusion of Medical Professionals,Involvement of Parents and Patients,Community and Public Engagement,,
Columbus,Who do you think should be included in this community consultation process?,Obviously parents of kids with seizure disorders,2,Inclusion of Medical Professionals,Involvement of Parents and Patients,Community and Public Engagement,,
WashingtonDC,Who should the study team need to hear from before presenting this study to the institutional review board that approves studies like this?,The people doing the research,1,Research team involvement,Lack of knowledge or disagreement,Involvement of parents or families,Community and experienced individuals' involvement,
WashingtonDC,Who should the study team need to hear from before presenting this study to the institutional review board that approves studies like this?,"""I have no idea""",2,Research team involvement,Lack of knowledge or disagreement,Involvement of parents or families,Community and experienced individuals' involvement,
WashingtonDC,Who should the study team need to hear from before presenting this study to the institutional review board that approves studies like this?,Parents,3,Research team involvement,Lack of knowledge or disagreement,Involvement of parents or families,Community and experienced individuals' involvement,
WashingtonDC,Who should the study team need to hear from before presenting this study to the institutional review board that approves studies like this?,"""I don't think y'all should talk to more people.""",2,Research team involvement,Lack of knowledge or disagreement,Involvement of parents or families,Community and experienced individuals' involvement,
WashingtonDC,Who should the study team need to hear from before presenting this study to the institutional review board that approves studies like this?,Parents and the community that you're reaching out to,3,Research team involvement,Lack of knowledge or disagreement,Involvement of parents or families,Community and experienced individuals' involvement,
WashingtonDC,Who should the study team need to hear from before presenting this study to the institutional review board that approves studies like this?,"""The people who have had first hand experience""",4,Research team involvement,Lack of knowledge or disagreement,Involvement of parents or families,Community and experienced individuals' involvement,
WashingtonDC,Who should the study team need to hear from before presenting this study to the institutional review board that approves studies like this?,"Community, the families, everybody",4,Research team involvement,Lack of knowledge or disagreement,Involvement of parents or families,Community and experienced individuals' involvement,
Atlanta,"If your child had a seizure and was included in this study, who would you have wanted the study team to talk to before this study was approved by the board?",FDA and pediatric Board,1,Medical professionals,Parents and caregivers,,,
Atlanta,"If your child had a seizure and was included in this study, who would you have wanted the study team to talk to before this study was approved by the board?",Other parents,2,Medical professionals,Parents and caregivers,,,
Atlanta,"If your child had a seizure and was included in this study, who would you have wanted the study team to talk to before this study was approved by the board?",Doctors,1,Medical professionals,Parents and caregivers,,,
Atlanta,"If your child had a seizure and was included in this study, who would you have wanted the study team to talk to before this study was approved by the board?","Doctors, EMS, parents",1,Medical professionals,Parents and caregivers,,,
Atlanta,"If your child had a seizure and was included in this study, who would you have wanted the study team to talk to before this study was approved by the board?","Doctors, paramedics, nurses",1,Medical professionals,Parents and caregivers,,,
Atlanta,"If your child had a seizure and was included in this study, who would you have wanted the study team to talk to before this study was approved by the board?","Pediatricians, pharmacists",1,Medical professionals,Parents and caregivers,,,
Atlanta,"If your child had a seizure and was included in this study, who would you have wanted the study team to talk to before this study was approved by the board?",Parents of children with epilepsy,2,Medical professionals,Parents and caregivers,,,
Atlanta,"If your child had a seizure and was included in this study, who would you have wanted the study team to talk to before this study was approved by the board?",MD,1,Medical professionals,Parents and caregivers,,,
Atlanta,"If your child had a seizure and was included in this study, who would you have wanted the study team to talk to before this study was approved by the board?",Doctors,1,Medical professionals,Parents and caregivers,,,
Atlanta,"If your child had a seizure and was included in this study, who would you have wanted the study team to talk to before this study was approved by the board?",ED and EMTs,1,Medical professionals,Parents and caregivers,,,
Columbus,How would you prefer to receive information about studies like this?,"I'm good with, I personally get a lot from email",1,Email Communication,Print and Broadcast Media,Community Outreach,Social Media and Digital Advertising,
Columbus,How would you prefer to receive information about studies like this?,"Email worked pretty well. There's a pretty good network of Emergency care coordinators across Ohio anyways. And it is a nationwide group as well, but I think if you can reach out to those. Joe Stack with the Ohio Department of EMS. He does a good job with getting this type of information out",1,Email Communication,Print and Broadcast Media,Community Outreach,Social Media and Digital Advertising,
Columbus,How would you prefer to receive information about studies like this?,Email. I have some medical journals that I read sometimes and even just community papers might not be a bad idea like the little local ones,1,Email Communication,Print and Broadcast Media,Community Outreach,Social Media and Digital Advertising,
Columbus,How would you prefer to receive information about studies like this?,"Like if I were part of the community and didn't know anyone, I guess, pediatricians offices. That's probably the best spot",3,Email Communication,Print and Broadcast Media,Community Outreach,Social Media and Digital Advertising,
Columbus,How would you prefer to receive information about studies like this?,email,1,Email Communication,Print and Broadcast Media,Community Outreach,Social Media and Digital Advertising,
Columbus,How would you prefer to receive information about studies like this?,"Email, print media. There's not many people who use newspapers anymore, but certainly television. Most still have local agencies and they have community boards, you know basic places to get some information out. Posters at children clinics and pediatricians and certainly get the word out to pediatricians because those kids are getting regular pediatric care and would have hopefully at least one annual exposure to the pediatrician who could communicate this information out",1,Email Communication,Print and Broadcast Media,Community Outreach,Social Media and Digital Advertising,
Columbus,How would you prefer to receive information about studies like this?,"email, billboards around the city, essentially, is your kid at risk of having a seizure? Call this number or whatever text this number, I don't know",1,Email Communication,Print and Broadcast Media,Community Outreach,Social Media and Digital Advertising,
Columbus,How would you prefer to receive information about studies like this?,"I think through, social media would be good. And through email",4,Email Communication,Print and Broadcast Media,Community Outreach,Social Media and Digital Advertising,
Columbus,How would you prefer to receive information about studies like this?,"emails, newsletters",1,Email Communication,Print and Broadcast Media,Community Outreach,Social Media and Digital Advertising,
WashingtonDC,What media or methods should be used to inform the community about the PediDOSE study?,Social media,1,Social Media,"Traditional Media (news, radio, mailers, flyers)",Health and Community Centers,,
WashingtonDC,What media or methods should be used to inform the community about the PediDOSE study?,"Direct mailers, radio stations, pamphlets at health fairs",2,Social Media,"Traditional Media (news, radio, mailers, flyers)",Health and Community Centers,,
WashingtonDC,What media or methods should be used to inform the community about the PediDOSE study?,"News, radio, newspaper, social media (Facebook",2,Social Media,"Traditional Media (news, radio, mailers, flyers)",Health and Community Centers,,
WashingtonDC,What media or methods should be used to inform the community about the PediDOSE study?,"Social media (TikTok, Instagram",1,Social Media,"Traditional Media (news, radio, mailers, flyers)",Health and Community Centers,,
WashingtonDC,What media or methods should be used to inform the community about the PediDOSE study?,Pediatrician offices and waiting rooms,3,Social Media,"Traditional Media (news, radio, mailers, flyers)",Health and Community Centers,,
WashingtonDC,What media or methods should be used to inform the community about the PediDOSE study?,"""I would say more of the Community organization 'cause it's it would feel more close knit.""",3,Social Media,"Traditional Media (news, radio, mailers, flyers)",Health and Community Centers,,
WashingtonDC,What media or methods should be used to inform the community about the PediDOSE study?,"Everything, flyers, mail, posters on walls",2,Social Media,"Traditional Media (news, radio, mailers, flyers)",Health and Community Centers,,
WashingtonDC,What media or methods should be used to inform the community about the PediDOSE study?,"Community organizations, doctors offices, social media",3,Social Media,"Traditional Media (news, radio, mailers, flyers)",Health and Community Centers,,
Atlanta,"If community consultation were not feasible, what other methods do you think we should use to gather feedback on how best to do emergency research like this?",Working with doctor's offices,1,Medical Consultation,Uncertainty,Social Media,,
Atlanta,"If community consultation were not feasible, what other methods do you think we should use to gather feedback on how best to do emergency research like this?",Unsure,2,Medical Consultation,Uncertainty,Social Media,,
Atlanta,"If community consultation were not feasible, what other methods do you think we should use to gather feedback on how best to do emergency research like this?",Social media,3,Medical Consultation,Uncertainty,Social Media,,
Atlanta,"If community consultation were not feasible, what other methods do you think we should use to gather feedback on how best to do emergency research like this?",Social media,3,Medical Consultation,Uncertainty,Social Media,,
Atlanta,"If community consultation were not feasible, what other methods do you think we should use to gather feedback on how best to do emergency research like this?",PCP visits,1,Medical Consultation,Uncertainty,Social Media,,
Atlanta,"If community consultation were not feasible, what other methods do you think we should use to gather feedback on how best to do emergency research like this?",Doctor's offices,1,Medical Consultation,Uncertainty,Social Media,,